"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
10.09	0.00032	0.38	2e-05	31109	31116	31112.5	NA	NA	10.09	0.0314	0.04	NA	NA	NA	NA	NA	0.01	0.03
10.1	0.00011	0.38	0	31129	31136	31132.5	NA	NA	10.1	0.0314	0.04	NA	NA	NA	NA	NA	0.004	0.01
10.12	0.00068	0.38	3e-05	31184	31191	31187.5	NA	NA	10.12	0.0319	0.04	NA	NA	NA	NA	NA	0.021	0.01
10.14	0.00042	0.38	2e-05	31239	31246	31242.5	NA	NA	10.14	0.0319	0.04	NA	NA	NA	NA	NA	0.013	0.01
10.15	0.00085	0.38	3e-05	31294	31301	31297.5	NA	NA	10.15	0.0319	0.04	NA	NA	NA	NA	NA	0.027	0.01
10.19	0.00088	0.37	3e-05	31404	31411	31407.5	NA	NA	10.19	0.0321	0.04	NA	NA	NA	NA	NA	0.028	0.01
10.21	0.00059	0.38	3e-05	31459	31466	31462.5	NA	NA	10.21	0.0321	0.04	NA	NA	NA	NA	NA	0.018	0.03
10.23	0.00047	0.37	2e-05	31514	31521	31517.5	NA	NA	10.23	0.0319	0.04	NA	NA	NA	NA	NA	0.015	0.01
10.28	0.00038	0.36	1e-05	31679	31686	31682.5	NA	NA	10.28	0.0309	0.04	NA	NA	NA	NA	NA	0.012	0.01
10.3	0.00025	0.36	1e-05	31734	31741	31737.5	NA	NA	10.3	0.0309	0.04	NA	NA	NA	NA	NA	0.008	0.01
10.32	0.00045	0.36	2e-05	31789	31796	31792.5	NA	NA	10.32	0.0309	0.04	NA	NA	NA	NA	NA	0.015	0.01
10.34	0.00197	0.36	7e-05	31844	31851	31847.5	NA	NA	10.34	0.0308	0.04	NA	NA	NA	NA	NA	0.064	0.01
10.38	0.00051	0.36	2e-05	31954	31961	31957.5	NA	NA	10.38	0.0308	0.04	NA	NA	NA	NA	NA	0.017	0.03
10.4	0.00019	0.36	1e-05	32009	32016	32012.5	NA	NA	10.4	0.0306	0.03	NA	NA	NA	NA	NA	0.006	0.01
10.42	0.00025	0.36	1e-05	32064	32071	32067.5	NA	NA	10.42	0.0306	0.03	NA	NA	NA	NA	NA	0.008	0.01
10.43	0.00019	0.36	1e-05	32119	32126	32122.5	NA	NA	10.43	0.0306	0.03	NA	NA	NA	NA	NA	0.006	0.01
10.46	0.00013	0.37	1e-05	32188	32195	32191.5	NA	NA	10.46	0.0297	0.03	NA	NA	NA	NA	NA	0.004	0.05
10.47	0.00036	0.37	1e-05	32229	32236	32232.5	NA	NA	10.47	0.0297	0.03	NA	NA	NA	NA	NA	0.012	0.01
10.49	0.00022	0.37	1e-05	32284	32291	32287.5	NA	NA	10.49	0.0297	0.03	NA	NA	NA	NA	NA	0.007	0.01
10.51	0.00175	0.37	7e-05	32339	32346	32342.5	NA	NA	10.51	0.0314	0.04	NA	NA	NA	NA	NA	0.056	0.01
10.53	3e-04	0.37	1e-05	32394	32401	32397.5	NA	NA	10.53	0.0314	0.04	NA	NA	NA	NA	NA	0.01	0.01
10.57	0.00028	0.36	1e-05	32504	32511	32507.5	NA	NA	10.57	0.0339	0.03	NA	NA	NA	NA	NA	0.008	0.01
10.59	0.00072	0.36	3e-05	32559	32566	32562.5	NA	NA	10.59	0.0339	0.03	NA	NA	NA	NA	NA	0.021	0.03
10.63	0.00054	0.35	2e-05	32670.3	32677.3	32673.8	NA	NA	10.63	0.0323	0.03	NA	NA	NA	NA	NA	0.017	0.01
10.64	0.00061	0.35	2e-05	32724	32731	32727.5	NA	NA	10.64	0.0323	0.03	NA	NA	NA	NA	NA	0.019	0.01
10.66	0.00045	0.35	2e-05	32779	32786	32782.5	NA	NA	10.66	0.0323	0.03	NA	NA	NA	NA	NA	0.014	0.01
10.68	0.00043	0.35	2e-05	32834	32841	32837.5	NA	NA	10.68	0.0302	0.03	NA	NA	NA	NA	NA	0.014	0.01
10.7	0.00042	0.35	2e-05	32889	32896	32892.5	NA	NA	10.7	0.0302	0.03	NA	NA	NA	NA	NA	0.014	0.01
10.72	0.00064	0.35	2e-05	32944	32951	32947.5	NA	NA	10.72	0.0302	0.03	NA	NA	NA	NA	NA	0.021	0.01
10.77	0.00049	0.34	2e-05	33109	33116	33112.5	NA	NA	10.77	0.0307	0.03	NA	NA	NA	NA	NA	0.016	0.03
10.81	0.00036	0.34	1e-05	33219	33226	33222.5	NA	NA	10.81	0.0303	0.03	NA	NA	NA	NA	NA	0.012	0.01
10.85	3e-04	0.35	1e-05	33314	33321	33317.5	NA	NA	10.85	0.0303	0.03	NA	NA	NA	NA	NA	0.01	0.03
10.85	0.00061	0.33	2e-05	33329	33336	33332.5	NA	NA	10.85	0.03	0.03	NA	NA	NA	NA	NA	0.02	0.01
10.89	0.00066	0.34	2e-05	33439	33446	33442.5	NA	NA	10.89	0.03	0.03	NA	NA	NA	NA	NA	0.022	0.01
10.95	0.00086	0.33	3e-05	33604	33611	33607.5	NA	NA	10.95	0.0306	0.03	NA	NA	NA	NA	NA	0.028	0.02
11.01	0.00035	0.33	1e-05	33769	33776	33772.5	NA	NA	11.01	0.0305	0.03	NA	NA	NA	NA	NA	0.011	0.01
11.05	0.00026	0.34	1e-05	33879	33886	33882.5	NA	NA	11.05	0.0297	0.03	NA	NA	NA	NA	NA	0.009	0.01
11.08	0.00021	0.34	1e-05	33984	33991	33987.5	NA	NA	11.08	0.0297	0.03	NA	NA	NA	NA	NA	0.007	0.03
11.08	5e-04	0.35	2e-05	33989	33996	33992.5	NA	NA	11.08	0.0303	0.03	NA	NA	NA	NA	NA	0.016	0.01
11.2	0.00061	0.32	2e-05	34319	34326	34322.5	NA	NA	11.2	0.0293	0.03	NA	NA	NA	NA	NA	0.021	0.01
11.22	0.0013	0.32	4e-05	34359	34366	34362.5	NA	NA	11.22	0.0293	0.03	NA	NA	NA	NA	NA	0.044	0.01
11.24	0.00033	0.32	1e-05	34429	34436	34432.5	NA	NA	11.24	0.0293	0.03	NA	NA	NA	NA	NA	0.011	0.01
11.28	0.00051	0.33	2e-05	34539	34546	34542.5	NA	NA	11.28	0.0301	0.03	NA	NA	NA	NA	NA	0.017	0.01
11.34	0.00046	0.33	2e-05	34704	34711	34707.5	NA	NA	11.34	0.031	0.03	NA	NA	NA	NA	NA	0.015	0.03
11.4	0.00043	0.33	1e-05	34869	34876	34872.5	NA	NA	11.4	0.0305	0.03	NA	NA	NA	NA	NA	0.014	0.01
11.44	0.00062	0.35	2e-05	34979	34986	34982.5	NA	NA	11.44	0.0309	0.03	NA	NA	NA	NA	NA	0.02	0.01
11.48	0.00065	0.35	2e-05	35089	35096	35092.5	NA	NA	11.48	0.0309	0.03	NA	NA	NA	NA	NA	0.021	0.01
11.53	0.00085	0.37	3e-05	35254	35261	35257.5	NA	NA	11.53	0.03	0.03	NA	NA	NA	NA	NA	0.028	0.02
11.59	0.00048	0.35	2e-05	35419	35426	35422.5	NA	NA	11.59	0.0304	0.03	NA	NA	NA	NA	NA	0.016	0.01
11.63	0.00046	0.34	2e-05	35529	35536	35532.5	NA	NA	11.63	0.0319	0.03	NA	NA	NA	NA	NA	0.015	0.01
11.65	0.00017	0.34	1e-05	35569	35576	35572.5	NA	NA	11.65	0.0319	0.03	NA	NA	NA	NA	NA	0.005	0.05
11.67	0.00151	0.38	5e-05	35639	35646	35642.5	NA	NA	11.67	0.0302	0.03	NA	NA	NA	NA	NA	0.05	0.01
11.73	0.00042	0.41	2e-05	35804	35811	35807.5	NA	NA	11.73	0.0291	0.03	NA	NA	NA	NA	NA	0.014	0.03
11.79	0.00029	0.43	1e-05	35969	35976	35972.5	NA	NA	11.79	0.03	0.04	NA	NA	NA	NA	NA	0.01	0.01
11.83	0.00019	0.43	1e-05	36079	36086	36082.5	NA	NA	11.83	0.03	0.04	NA	NA	NA	NA	NA	0.006	0.04
11.87	0.00037	0.45	1e-05	36189	36196	36192.5	NA	NA	11.87	0.0299	0.04	NA	NA	NA	NA	NA	0.012	0.01
11.91	0.00012	0.46	1e-05	36299	36306	36302.5	NA	NA	11.91	0.0288	0.04	NA	NA	NA	NA	NA	0.004	0.06
11.99	0.00018	0.47	1e-05	36519	36526	36522.5	NA	NA	11.99	0.0271	0.04	NA	NA	NA	NA	NA	0.007	0.01
